year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	places
2020	PSI	BANQUE EPREUVES CCINP	ENSISA Mulhouse Informatique et r̩seaux										5	0,0%	40,0%	572	585	8
2020	PSI	BANQUE EPREUVES CCINP	ENSISA Mulhouse M̩canique										9	11,1%	33,3%	506	513	8
2020	PSI	BANQUE EPREUVES CCINP	ENSISA Mulhouse Textile et Fibres										4	25,0%	0,0%	713	685	4
2020	PSI	BANQUE EPREUVES CCINP	Concours ENSISA PSI	1236	29,4%	15,0%				821	26,7%	14,6%	25					28
2020	PSI	BANQUE EPREUVES CCINP	EOST Strasbourg	592	33,8%	14,4%				388	34,8%	14,9%	5	40,0%	0,0%	292	263	3
2020	PSI	BANQUE EPREUVES CCINP	ESM Saint-Cyr	860	16,7%	25,3%				112	9,8%	54,5%	36	5,6%	50,0%	66	61	36
2020	PSI	BANQUE EPREUVES CCINP	Lorraine INP - ENSTIB	571	32,4%	15,6%				399	32,1%	14,8%	7	42,9%	0,0%	269	252	9
2020	PSI	CONCOURS POLYTECH Inter-Fili̬re	ENSIBS Lorient										3	33,3%	0,0%	3683*	3829*	16*
2020	PSI	CONCOURS POLYTECH Inter-Fili̬re	ENSIM Le Mans										2	50,0%	0,0%	3935*	3901*	10*
2020	PSI	CONCOURS POLYTECH Inter-Fili̬re	ESBS Strasbourg										0	0,0%	0,0%	1347*	1236*	3*
2020	PSI	CONCOURS POLYTECH Inter-Fili̬re	ESGT le Mans										3	33,3%	33,3%	3604*	3539*	15*
2020	PSI	CONCOURS POLYTECH Inter-Fili̬re	ESI Reims - Energetique										3	33,3%	0,0%	4594*	4463*	5*
2020	PSI	CONCOURS POLYTECH Inter-Fili̬re	ESI Reims - G̩nie Urbain et Environnement										1	100,0%	0,0%	3093*	3036*	4*
2020	PSI	CONCOURS POLYTECH Inter-Fili̬re	ESI Reims - Packaging										1	100,0%	0,0%	4816*	4667*	6*
2020	PSI	CONCOURS POLYTECH Inter-Fili̬re	ESIAB Brest										0	0,0%	0,0%	4439*	4436*	4*
2020	PSI	CONCOURS POLYTECH Inter-Fili̬re	ESIPE Cr̩teil - G̩nie Biom̩dical et sant̩ (ISBS)										5	80,0%	20,0%	4596*	4059*	10*
2020	PSI	CONCOURS POLYTECH Inter-Fili̬re	ESIPE Cr̩teil - Syst̬me d'information										0	0,0%	0,0%	3733*	3807*	3*
2020	PSI	CONCOURS POLYTECH Inter-Fili̬re	ESIPE Cr̩teil - Technologie pour la sant̩										0	0,0%	0,0%	3723*	3724*	3*
