year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2020	pc	BANQUE EPREUVES CCINP	ESM Saint-Cyr	565	19.6	24.6				75	8.0	53.3	13	0.0	53.8	23	21	13
2020	pc	BANQUE EPREUVES CCINP	ITECH Lyon	909	55.6	19.4				700	57.1	22.0	42	66.7	45.2	561	530	45
2020	pc	BANQUE EPREUVES CCINP	Lorraine INP-ENSTIB	447	40.9	17.4				312	42.6	17.6	6	16.7	16.7	213	220	6
2020	pc	CONCOURS POLYTECH Inter-Filière	ENSIBS Lorient										3	0.0	0.0	3683	3829	16
2020	pc	CONCOURS POLYTECH Inter-Filière	ENSIM Le Mans										5	40.0	0.0	3935	3901	10
2020	pc	CONCOURS POLYTECH Inter-Filière	ESBS Strasbourg										2	100.0	0.0	1347	1236	3
2020	pc	CONCOURS POLYTECH Inter-Filière	ESGT le Mans										0	0.0	0.0	3604	3539	15
2020	pc	CONCOURS POLYTECH Inter-Filière	ESI Reims-Energetique										3	33.3	33.3	4594	4463	5
2020	pc	CONCOURS POLYTECH Inter-Filière	ESI Reims-Génie Urbain et Environnement										2	50.0	0.0	3093	3036	4
2020	pc	CONCOURS POLYTECH Inter-Filière	ESI Reims-Packaging										2	100.0	0.0	4816	4667	6
2020	pc	CONCOURS POLYTECH Inter-Filière	ESIAB Brest										4	100.0	0.0	4439	4436	4
2020	pc	CONCOURS POLYTECH Inter-Filière	ESIPE Créteil-Génie Biomédical et santé (ISBS)										4	50.0	25.0	4596	4059	10
2020	pc	CONCOURS POLYTECH Inter-Filière	ESIPE Créteil-Système d'information										0	0.0	0.0	3733	3807	3
2020	pc	CONCOURS POLYTECH Inter-Filière	ESIPE Créteil-Technologie pour la santé										0	0.0	0.0	3723	3724	3
2020	pc	CONCOURS POLYTECH Inter-Filière	ESIR Rennes										7	42.9	28.6	3835	3540	20
2020	pc	CONCOURS POLYTECH Inter-Filière	ESIREM Dijon										4	25.0	0.0	3293	3102	5
2020	pc	CONCOURS POLYTECH Inter-Filière	ESIROI Saint Denis de La Réunion										0	0.0	0.0	0	0	3
2020	pc	CONCOURS POLYTECH Inter-Filière	ESIX Normandie-Caen-Cherbourg										0	0.0	0.0	4379	4116	4
2020	pc	CONCOURS POLYTECH Inter-Filière	ISAT Nevers-département MIT (Mécanique et Ingénierie des Transports)										0	0.0	0.0	2228	2054	5
2020	pc	CONCOURS POLYTECH Inter-Filière	ISAT Nevers-département EPEE (Energies et Moteurs)										3	0.0	33.3	3229	3326	12
2020	pc	CONCOURS POLYTECH Inter-Filière	ISAT Nevers-Infrastructures et Réseaux de Transports										1	0.0	0.0	4695	4575	4
2020	pc	CONCOURS POLYTECH Inter-Filière	ISIFC Besançon-Génie Biomédical										4	100.0	25.0	3083	2762	8
2020	pc	CONCOURS POLYTECH Inter-Filière	ISTY Vélizy										0	0.0	0.0	4192	4125	3
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Angers Bâtiment : Exploitation, Maintenance et Sécurité										0	0.0	0.0	4963	4963	2
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Angers Qualité Innovation Fiabilité										1	100.0	0.0	2659	2659	2
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Angers Systèmes Automatisés et Génie Informatique										0	0.0	0.0	3532	3452	4
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Annecy-Chambéry-Environnement, Bâtiment, Énergie										5	80.0	0.0	4323	3919	19
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Annecy-Chambéry-Informatique données Usages										1	0.0	0.0	4055	3894	4
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Annecy-Chambéry-Instrumentation, Automatique, Informatique										0	0.0	0.0	3361	3495	4
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Annecy-Chambéry-Mécanique, Matériaux										2	0.0	0.0	4059	3896	8
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Clermont-Ferrand-Génie Biologique										5	100.0	60.0	2712	3034	5
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Clermont-Ferrand-Génie Civil										2	0.0	0.0	3573	3434	16
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Clermont-Ferrand-Génie Electrique										1	0.0	0.0	4380	4479	5
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Clermont-Ferrand-Génie Mathématique et Modélisation										3	0.0	66.7	3523	3220	14
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Clermont-Ferrand-Génie Physique										3	0.0	66.7	4718	4489	8
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Grenoble-Géotechnique et génie civil										1	0.0	0.0	2850	2655	6
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Grenoble-Matériaux										2	50.0	0.0	3914	3594	6
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Grenoble-Prévention des risques										1	100.0	100.0	4540	4324	6
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Grenoble-Informatique										1	0.0	100.0	2728	2592	8
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Grenoble-Informatique et électronique des systèmes embarqués										0	0.0	0.0	2276	2073	5
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Grenoble-Technologies de l'information pour la santé										1	100.0	0.0	4084	3724	6
2020	pc	CONCOURS POLYTECH Inter-Filière	Polytech Lille-Génie biologique et alimentaire										5	100.0	80.0	2701	2832	4
