year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	rg_dernier_appele	integres_nb	integres_filles	integres_cinq_demi	places
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSIC Nancy	¥	¥	¥	¥	¥	¥	¥	¥	¥	2437	7	71	29	10
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSG Nancy	¥	¥	¥	¥	¥	¥	¥	¥	¥	2748	3	0	33	5
2004	MP	CONC. COMM. POLYTECHNIQUE	SUPMECA Paris	¥	¥	¥	¥	¥	¥	¥	¥	¥	2277	35	14	26	35
2004	MP	CONC. COMM. POLYTECHNIQUE	SUPMECA Toulon	¥	¥	¥	¥	¥	¥	¥	¥	¥	2353	11	36	36	10
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSGTI Pau	¥	¥	¥	¥	¥	¥	¥	¥	¥	3367	9	56	56	10
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSMA Poitiers	¥	¥	¥	¥	¥	¥	¥	¥	¥	1772	44	14	34	45
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSP Strasbourg	¥	¥	¥	¥	¥	¥	¥	¥	¥	2893	31	23	42	35
2004	MP	CONC. COMM. POLYTECHNIQUE	ENAC Toulouse civil	¥	¥	¥	¥	¥	¥	¥	¥	¥	1263	44	27	36	37
2004	MP	CONC. COMM. POLYTECHNIQUE	ENAC Fonc Tlse	¥	¥	¥	¥	¥	¥	¥	¥	¥	42	2	0	100	2
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSEEIHT Genie Elec.	¥	¥	¥	¥	¥	¥	¥	¥	¥	1895	12	8	33	15
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSEEIHT electronique	¥	¥	¥	¥	¥	¥	¥	¥	¥	1603	17	6	41	18
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSEEIHT Informatique	¥	¥	¥	¥	¥	¥	¥	¥	¥	1432	46	11	28	55
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSEEIHT hydraulique	¥	¥	¥	¥	¥	¥	¥	¥	¥	1360	19	16	21	18
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSEEIHT Telecom.reseau	¥	¥	¥	¥	¥	¥	¥	¥	¥	1349	20	15	50	20
2004	MP	CONC. COMM. POLYTECHNIQUE	ENSICA Toulouse	¥	¥	¥	¥	¥	¥	¥	¥	¥	697	46	22	39	45
