year	filiere	banque	ecole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	nb_integres_interfilieres	places
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Lorraine INP - ENSEM - Energie										23	26,1%	30,4%	2678	2679		24
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Lorraine INP - ENSEM - Sp̩cialit̩ des syst̬mes num̩riques										7	14,3%	42,9%	2733	2798		5
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	SeaTech Toulon										22	36,4%	36,4%	2443	2294		18
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	TELECOM PHYSIQUE Strasbourg										30	33,3%	16,7%	1920	1797		31
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Toulouse INP - ENSEEIHT - Electronique-Energie-Automatique (EEA)										16	25,0%	18,8%	979	947		20
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Toulouse INP - ENSEEIHT - M̩canique des Fluides-Energetique-Environnement (MFEE)										15	46,7%	20,0%	568	536		18
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Toulouse INP - ENSEEIHT - Sciences du Num̩rique										13	23,1%	23,1%	912	852		11
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Toulouse INP - ENSIACET - G̩nie des Proc̩d̩s										17	47,1%	23,5%	2021	1985		16
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Toulouse INP - ENSIACET - G̩nie Industriel										9	11,1%	33,3%	1903	1771		9
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS PHYSIQUE	Concours CCINP PC-Physique	4685	36,4%	20,7%	3766	35,9%	21,4%	3312	37,1%	21,4%	653						609
2022	PC	CCINP : ECOLES RECRUTANT SUR LE CONCOURS CHIMIE	Bordeaux INP - ENSCBP Chimie-G̩nie physique										37	48,6%	27,0%	2080	2020		42
