year	filiere	banque	ehcole	inscrits_nb	inscrits_filles	inscrits_cinq_demi	admissibles_nb	admissibles_filles	admissibles_cinq_demi	classes_nb	classes_filles	classes_cinq_demi	integres_nb	integres_filles	integres_cinq_demi	integres_rg_median	integres_rg_moyen	integres_places
2019	pc	BANQUE EPREUVES CCINP	ENSISA Mulhouse Informatique et réseaux										4	25.0	50.0	53	53	4
2019	pc	BANQUE EPREUVES CCINP	ENSISA Mulhouse Mécanique										8	25.0	37.5	60	57	5
2019	pc	BANQUE EPREUVES CCINP	ENSISA Mulhouse Textile et Fibres										8	50.0	25.0	46	44	9
2019	pc	BANQUE EPREUVES CCINP	¥Concours ENSISA PC	751	45.3	18.5	640	46.4	19.2	93	47.3	17.2	26					22
2019	pc	BANQUE EPREUVES CCINP	EOST Strasbourg	529	46.7	19.3	357	48.2	21.6	57	50.9	22.8	13	38.5	15.4	34	34	12
2019	pc	BANQUE EPREUVES CCINP	ESCOM Chimie Compiègne	1079	53.3	16.8	608	58.2	18.6	68	72.1	22.1	13	53.8	46.2	53	45	20
2019	pc	BANQUE EPREUVES CCINP	ITECH Lyon	797	54.8	14.4	623	56.5	15.7	108	65.7	15.7	34	73.5	26.5	69	65	45
2019	pc	BANQUE EPREUVES CCINP	Lorraine INP-ENSTIB	423	42.3	17.0	287	45.6	13.9	27	37.0	11.1	5	40.0	0.0	23	18	6
2019	pc	CONCOURS COMMUN TPE	ENTPE Lyon Civil										22	31.8	40.9	329	295	21
2019	pc	CONCOURS COMMUN TPE	ENTPE Lyon Fonctionnaire										27	29.6	37.0	198	203	27
2019	pc	CONCOURS COMMUN TPE	¥Concours TPE-Candidats français et de l'Union européenne-filièrePC	2120	34.4	25.4	1251	34.4	28.0	407	42.5	30.7	49					48
2019	pc	CONCOURS COMMUN TPE	ENTPE Lyon Etranger	2120	34.4	25.4	20	50.0	30.0	5	40.0	40.0	0	0.0	0.0	0	0	1
2019	pc	CONCOURS COMMUN TPE	EIVP Paris Civil	2120	34.4	25.4	1271	34.6	28.0	416	42.8	30.5	22	36.4	45.5	382	335	20
2019	pc	CONCOURS COMMUN TPE	EIVP Paris Fonctionnaire	2120	34.4	25.4	1251	34.4	28.0	410	42.7	30.5	4	75.0	0.0	104	102	4
2019	pc	CONCOURS COMMUN TPE	IMT Lille Douai Fonct.	2120	34.4	25.4	1251	34.4	28.0	407	42.5	30.7	0	0.0	0.0	0	0	0
2019	pc	Concours Mines-Télécom	IMT Mines Albi										53	43.4	28.3	1065	1024	50
2019	pc	Concours Mines-Télécom	IMT Mines Alès										47	44.7	29.8	1135	1065	47
2019	pc	Concours Mines-Télécom	ENSIIE Evry										9	11.1	66.7	1218	1186	10
2019	pc	Concours Mines-Télécom	ENSTA Bretagne (filière sous statut étudiant)										16	31.2	37.5	665	644	18
2019	pc	Concours Mines-Télécom	IMT Lille Douai										52	40.4	32.7	1284	1211	52
