year,concours,prepa,ville,etablissement,inscrits,inscrits dont filles,admissibles,admissibles dont filles,classes,classes dont filles,integres,integres dont filles
2002,ccp,PC,TARBES,THEOPHILE GAUTIER,23,6,10,4,6,1,2,0
2002,ccp,PC,TUNIS,IPEST,20,9,19,9,17,9,6,2
2002,ccp,PC,QUIMPER,LYCEE BRIZEUX,21,6,12,4,10,2,7,2
2002,ccp,PC,CASABLANCA,ECO SUP GALILEE,2,0,0,0,0,0,0,0
2002,ccp,PC,SAINTE CLOTILDE,LECONTE DE LISLE,21,5,15,3,14,2,9,2
2002,ccp,PC,FORT DE FRANCE,DE BELLEVUE,16,8,2,1,2,1,1,1
2002,ccp,PC,POINTE A PITRE,BAIMBRIDGE,25,9,4,1,3,0,3,0
2002,ccp,PC,CASABLANCA,ENS DE CASABLANCA,4,1,0,0,0,0,0,0
2002,ccp,PC,MARRAKECH,ENS DE MARRAKECH,6,5,0,0,0,0,0,0
2002,ccp,PC,FES,ENS DE FES,3,0,0,0,0,0,0,0
2002,ccp,PC,RABAT,ENS de TAKADOUM,6,2,0,0,0,0,0,0
2002,mines-ponts,PSI,AIX-EN-PROVENCE,PAUL CEZANNE,2,1,0,0,0,0,0,0
2002,mines-ponts,PSI,AIX-EN-PROVENCE,VAUVENARGUES,21,4,10,4,9,3,2,0
2002,mines-ponts,PSI,AVIGNON,FREDERIC MISTRAL,9,1,2,0,1,0,1,0
2002,mines-ponts,PSI,BLOIS,F. PH. DESSAIGNES,1,0,0,0,0,0,0,0
2002,mines-ponts,PSI,MARSEILLE,JEAN PERRIN,27,5,13,2,10,2,3,1
2002,mines-ponts,PSI,MARSEILLE,THIERS,74,18,29,3,29,3,6,0
2002,mines-ponts,PSI,AMIENS,THUILLIER,9,0,0,0,0,0,0,0
2002,mines-ponts,PSI,COMPIEGNE,PIERRE D'AILLY,1,0,0,0,0,0,0,0
2002,mines-ponts,PSI,BELFORT,CONDORCET,6,3,1,0,1,0,0,0
2002,mines-ponts,PSI,BESANCON,VICTOR HUGO,72,22,8,3,8,3,2,1
2002,mines-ponts,PSI,BORDEAUX,CAMILLE JULLIAN,1,0,0,0,0,0,0,0
2002,mines-ponts,PSI,BORDEAUX,GUSTAVE EIFFEL,56,10,34,6,32,5,3,1
2002,mines-ponts,PSI,BORDEAUX,MICHEL MONTAIGNE,85,20,40,8,40,8,8,2
